ticker,name
002990.KS,금호건설
003350.KS,한국화장품제조
003650.KS,미창석유
004380.KS,삼익THK
004430.KS,송원산업
004960.KS,한신공영
005950.KS,이수화학
009070.KS,KCTC
016450.KS,한세예스24홀딩스
081000.KS,일진다이아
102260.KS,동성케미컬
213500.KS,한솔제지
234080.KS,JW생명과학
271980.KS,제일약품
339770.KS,교촌에프앤비
000700.KS,유수홀딩스
001360.KS,삼성제약
002100.KS,경농
003830.KS,대한화섬
005430.KS,한국공항
006060.KS,화승인더
008350.KS,남선알미늄
008970.KS,KBI동양철관
011785.KS,금호석유화학우
012200.KS,계양전기
015230.KS,대창단조
016580.KS,환인제약
031440.KS,신세계푸드
037560.KS,LG헬로비전
071840.KS,롯데하이마트
101530.KS,해태제과식품
102460.KS,이연제약
272550.KS,삼양패키징
400760.KS,NH올원리츠
460850.KS,동국씨엠
000020.KS,동화약품
000300.KS,DH오토넥스
002170.KS,SYTS
002780.KS,진흥기업
00279K.KS,
011700.KS,한신기계
012610.KS,경인양행
021820.KS,세원정공
025620.KS,차AI헬스케어
025820.KS,이구산업
078000.KS,텔코웨어
089470.KS,HDC현대EP
090350.KS,노루페인트
097955.KS,CJ제일제당 우
100250.KS,진양홀딩스
214390.KS,경보제약
214420.KS,토니모리
293480.KS,하나제약
317400.KS,자이에스앤디
462520.KS,조선내화
000970.KS,한국주철관
001290.KS,상상인증권
002390.KS,한독
003480.KS,한진중공업홀딩스
004710.KS,한솔테크닉스
004970.KS,신라교역
005800.KS,신영와코루
007540.KS,샘표
008040.KS,사조동아원
008110.KS,
009270.KS,신원
009580.KS,무림P&P
014280.KS,금강공업
018470.KS,조일알미늄
019180.KS,티에이치엔
044820.KS,코스맥스비티아이
079430.KS,현대리바트
107590.KS,미원홀딩스
210540.KS,디와이파워
363280.KS,티와이홀딩스
002620.KS,제일파마홀딩스
004140.KS,동방
004150.KS,한솔홀딩스
004250.KS,NPC
010100.KS,한국무브넥스
012320.KS,경동인베스트
013520.KS,화승코퍼레이션
013570.KS,디와이
015890.KS,태경산업
016710.KS,대성홀딩스
019680.KS,대교
024090.KS,디씨엠
027970.KS,한국제지
03473K.KS,
035000.KS,HS애드
070960.KS,모나용평
077500.KS,유니퀘스트
094280.KS,효성ITX
095720.KS,웅진씽크빅
298000.KS,효성화학
002460.KS,HS화성
004080.KS,신흥
007210.KS,벽산
008700.KS,아남전자
010660.KS,화천기계
011280.KS,태림포장
014530.KS,극동유화
014710.KS,사조씨푸드
014790.KS,HL D&I
016740.KS,두올
036420.KS,콘텐트리중앙
036580.KS,팜스코
067830.KS,세이브존I&C
083420.KS,그린케미칼
